0,128,97,135.98
1,108,293,-110.74
4,165,486,-180.64
2,94,161,-209.68
2,110,327,-15.06
2,111,425,-101.25
2,112,153,-209.68
2,164,447,107.15
2,151,147,-214.44
2,171,533,-33.05
2,215,522,-169.74
0,324,259,147.81
2,273,288,-217.81
2,303,223,0.06
2,307,235,60.32
2,323,229,67.44
2,316,315,-56.25
2,331,316,-22.56
2,340,235,-191.25
2,370,325,-56.25
0,473,488,174.63
1,495,111,-172.19
2,427,432,-101.25
2,442,483,93.29
2,441,540,-202.56
2,446,442,54.31
2,475,482,-224.48
2,458,431,-214.44
2,476,517,92.79
1,488,86,-103.21
2,493,187,115.9
1,484,156,-18.3
2,477,539,-87.21
2,489,85,-44.94
2,488,431,-209.68
2,497,488,-205.28
1,525,515,35.98
2,508,441,60.32
2,526,439,56.95
